REGISTRO_ANCINE,DATA_REGISTRO,RAZAO_SOCIAL,CNPJ,MUNICIPIO,CD_MUNICIPIO_IBGE,UF,CLASSIFICACAO_AGENTE_ECONOMICO
47707,2021-02-08,RODRIGO RAMALHO DE OLIVEIRA PRODUCOES,36.442.162/0001-27,SÃO PAULO,3550308.0,SP,Brasileiro independente 
47706,2021-02-08,HELDER BRUNO ALVES MENDONCA DE SOUZA 09706014411,40.755.947/0001-27,CABEDELO,2503209.0,PB,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
47693,2021-02-08,NAZA MUSIC ENTRETENIMENTO LTDA,09.496.024/0001-58,BELO HORIZONTE,3106200.0,MG,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
47691,2021-02-08,PROCEDURAL PRODUTORA DE CONTEUDO DIGITAL LTDA,35.787.609/0001-37,DOURADOS,5003702.0,MS,Brasileiro independente 
47702,2021-02-08,TA NO BRIEFING PRODÇÕES E EVENTOS LTDA,13.205.434/0001-70,MARICÁ,3302700.0,RJ,Brasileiro independente 
47697,2021-02-08,MARCIO RENATO DOS SANTOS PAIXAO 09554337701,19.883.435/0001-50,CAMPOS DOS GOYTACAZES,3301009.0,RJ,Brasileiro independente 
47704,2021-02-08,ALBERTO PIRES MACHADO 37389809892,27.691.512/0001-06,SÃO CAETANO DO SUL,3548807.0,SP,Brasileiro independente 
47696,2021-02-08,LINE UP COMUNICACAO EVENTOS E TECNOLOGIA EIRELI,28.934.771/0001-75,CAMPO GRANDE,5002704.0,MS,Brasileiro independente 
47701,2021-02-08,IGUASSU MEDICAL SERVICOS TERCEIRIZADOS LTDA,07.252.260/0001-01,FOZ DO IGUAÇU,4108304.0,PR,Brasileiro independente 
50471,2022-02-08,CADORE PRODUCOES ARTISTICAS LTDA,43.575.088/0001-82,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50473,2022-02-08,LSAVAGET PRODUÇÕES E PUBLICIDADE LTDA,02.754.598/0001-30,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50477,2022-02-08,AVA FILMES LTDA,41.697.041/0001-66,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50469,2022-02-08,SILVANA MOURA DE ASSIS,32.104.773/0001-04,SALVADOR,2927408.0,BA,Brasileiro independente 
50472,2022-02-08,JOKANA KUPARAKA LAB DE CRIACAO LTDA,40.930.246/0001-87,SÃO PAULO,3550308.0,SP,Brasileiro independente 
50476,2022-02-08,CRAYON CRIATIVA PRODUCAO CINEMATOGRAFICA LTDA,17.445.896/0001-15,FLORIANÓPOLIS,4205407.0,SC,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
50478,2022-02-08,LUMINAR FILMES LTDA,18.218.283/0001-08,BRASÍLIA,5300108.0,DF,Brasileiro independente 
50474,2022-02-08,MOC COMUNICACAO S/A,31.385.373/0001-51,MONTES CLAROS,3143302.0,MG,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
52784,2023-02-08,JULIANA SOARES THIMOTEO - PRODUCOES CINEMATOGRÁFICAS,19.544.059/0001-79,SÃO PAULO,3550308.0,SP,Brasileiro independente 
52796,2023-02-08,JOAO DANIEL CURTI 08250851951,29.958.215/0001-00,BLUMENAU,4202404.0,SC,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
52790,2023-02-08,FRANCISCO JOSE LEITE PONTES,28.163.807/0001-64,RECIFE,2611606.0,PE,Brasileiro independente 
52788,2023-02-08,EUDALDO MONCAO ROCHA JUNIOR 05765344550,46.891.092/0001-48,NAZARÉ,2922508.0,BA,Brasileiro independente 
52798,2023-02-08,O ENCANTADOR DE MENTES LTDA.,43.285.096/0001-94,SÃO BERNARDO DO CAMPO,3548708.0,SP,Brasileiro independente 
52785,2023-02-08,EXPANSOM PROMOÇÕES E EVENTOS LTDA,67.181.578/0001-62,MAUÁ,3529401.0,SP,Brasileiro
52786,2023-02-08,RED ROCKET MARKETING INTEGRADO LTDA,35.956.061/0001-01,GUARANIAÇU,4109302.0,PR,Brasileiro independente 
52797,2023-02-08,KARIRI ENCANTADO PRODUCOES ARTISTICAS LTDA,48.829.606/0001-60,CRATO,2304202.0,CE,Brasileiro independente 
52799,2023-02-08,ALESSANDRA DE FATIMA FERNANDES 08922753676,33.620.722/0001-06,BELO HORIZONTE,3106200.0,MG,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
1855,2004-03-08,SAGAZ DIGITAL PRODUÇÕES DE VÍDEOS E FILMES LTDA-ME,05.589.859/0001-00,SÃO PAULO,3550308.0,SP,Brasileiro independente 
786,2004-03-08,RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA,72.062.029/0001-09,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
1004,2004-03-08,M M SALLES PRODUÇÕES LTDA,03.222.082/0001-07,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
1846,2004-03-08,GATA CINE PRODUÇÕES LTDA,03.863.923/0001-65,SÃO PAULO,3550308.0,SP,Brasileiro independente 
3299,2005-03-08,CAMERA CINCO SOM E IMAGEM LTDA,53.445.920/0001-80,SÃO PAULO,3550308.0,SP,Brasileiro independente 
3298,2005-03-08,LYNXFILM PRODUÇÕES AUDIO-VISUAIS LTDA,61.383.022/0001-72,SÃO PAULO,3550308.0,SP,Brasileiro independente 
5531,2006-03-08,ANITRA PRODUÇÃO DE FILMES CINEMATOGRÁFICOS LTDA,07.614.651/0001-10,QUIXADÁ,2311306.0,CE,Brasileiro independente 
12016,2007-03-08,SS PRODUCOES E EVENTOS LTDA,96.763.057/0001-11,SALVADOR,2927408.0,BA,Brasileiro independente 
16665,2010-03-08,CABRA VADIA CINEMA E COMUNICAÇÃO LTDA,02.154.879/0001-51,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
16674,2010-03-08,NASCIMENTO & NASCIMENTO VIDEOS E PRODUÇÕES LTDA.-ME.,11.404.592/0001-23,LONDRINA,4113700.0,PR,Brasileiro independente 
16675,2010-03-08,YB PRODUÇÃO DE SOM E IMAGEM LTDA,03.033.979/0001-92,SANTANA DE PARNAÍBA,3547304.0,SP,Brasileiro independente 
16669,2010-03-08,COMPLO PRODUCOES E OFICINAS LTDA - ME,08.035.861/0001-17,SÃO PAULO,3550308.0,SP,Brasileiro independente 
21059,2012-03-08,PAULO SERGIO SILVA,14.554.904/0001-73,SÃO PAULO,3550308.0,SP,Brasileiro independente 
21066,2012-03-08,LUCINDA PRODUÇÕES CINEMATOGRÁFICAS E ARTÍSTICAS LTDA,14.595.634/0001-49,RECIFE,2611606.0,PE,Brasileiro independente 
23430,2013-03-08,POP PRODUCOES DE FILMES E VIDEO LTDA EPP,17.540.207/0001-51,SALVADOR,2927408.0,BA,Brasileiro independente 
23421,2013-03-08,ROMEU UHLMANN E CIA LTDA,08.243.880/0001-39,SANTA ROSA,4317202.0,RS,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
23431,2013-03-08,ESFFERA FILMES PRODUÇÕES EIRELI ME,17.552.763/0001-48,SÃO JOSÉ DOS CAMPOS,3549904.0,SP,Brasileiro independente 
23422,2013-03-08,SANTA CLARA COMÉRCIO DE EQUIPAMENTOS PARA CINEMA LTDA,11.209.288/0001-25,PONTA GROSSA,4119905.0,PR,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
23428,2013-03-08,TRIP COMUNICAÇÃO LTDA - ME,12.824.700/0001-80,JUNDIAÍ,3525904.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
32276,2016-03-08,STELLA ANTUNES FERNANDES SENTIS,11.465.825/0001-06,PALMAS,1721000.0,TO,Brasileiro independente 
32277,2016-03-08,PAOLA CORREIA MALLMANN DE OLIVEIRA,20.432.648/0001-44,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
35737,2017-03-08,NOBRE SERVIÇOS DIGITAIS LTDA,20.433.203/0001-89,PORTO VELHO,1100205.0,RO,Brasileiro independente 
39007,2018-03-08,MARCUS VINICIUS POMPEU DE SOUZA 13679579748,28.176.131/0001-43,NITERÓI,3303302.0,RJ,Brasileiro independente 
39020,2018-03-08,RICARDO SANTOS DE FIGUEIREDO,25.154.814/0001-01,CARUARU,2604106.0,PE,Brasileiro independente 
39005,2018-03-08,BASIC TAPES PRODUCOES LTDA ­ ME,21.584.281/0001-47,INDAIATUBA,3520509.0,SP,Brasileiro independente 
39006,2018-03-08,GABRIEL CARDOSO MENDES EIRELI - ME,16.829.423/0001-59,FLORIANÓPOLIS,4205407.0,SC,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
39011,2018-03-08,AMAURY LOPES JUNIOR 06364607624,22.148.296/0001-25,SÃO JOÃO DEL REI,3162500.0,MG,Brasileiro independente 
39015,2018-03-08,V E D SHOW BUSINESS - PRODUÇÃO MUSICAL LTDA,29.455.704/0001-30,MARINGÁ,4115200.0,PR,Brasileiro independente 
39010,2018-03-08,CLEIDIO ANTONIO FELIX DA CRUZ JUNIOR 02908817578,29.569.655/0001-67,LUÍS EDUARDO MAGALHÃES,2919553.0,BA,Brasileiro independente 
39019,2018-03-08,NEO CORTEX ENTRETENIMENTO EIRELI - ME,28.557.358/0001-39,BRASÍLIA,5300108.0,DF,Brasileiro independente 
39004,2018-03-08,ERIK MACHADO 22314468805,29.748.671/0001-17,TATUÍ,3554003.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42392,2019-03-08,BELGRADO VÍDEO PRODUÇÃO LTDA,32.846.188/0001-80,SÃO PAULO,3550308.0,SP,Brasileiro independente 
47876,2021-03-08,PABLO GABRIEL PINTO MONTEIRO 05454762326,29.535.800/0001-99,SÃO LUÍS,2111300.0,MA,Brasileiro independente 
47877,2021-03-08,MICHELLE DE MELO BORBA 03866510438,39.778.953/0001-10,RECIFE,2611606.0,PE,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
47875,2021-03-08,ALMANAQUE FILMES LTDA,29.971.612/0001-03,BELO HORIZONTE,3106200.0,MG,Brasileiro independente 
47872,2021-03-08,RAFAEL ANDRE DA ROSA WERNER 03046391099,40.130.283/0001-00,LORENA,3527207.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
47874,2021-03-08,N CONTEUDO DE MARKETING LTDA,09.375.545/0001-57,RECIFE,2611606.0,PE,Brasileiro independente 
50676,2022-03-08,EUGENIA KIMURA SERVICOS DE AUDIOVISUAL LTDA,43.357.895/0001-29,SÃO PAULO,3550308.0,SP,Brasileiro independente 
50687,2022-03-08,MARCIA MARIA MACIEL,25.154.056/0001-21,ÁGUA PRETA,2600401.0,PE,Brasileiro independente 
50684,2022-03-08,THIAGO PIRES PRODUCOES ARTISTICAS LTDA,09.159.812/0001-59,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50686,2022-03-08,CARLOS ALBERTO KUNKEL BULOW 82108056068,20.518.029/0001-77,FLORIANÓPOLIS,4205407.0,SC,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
50677,2022-03-08,D B DE SOUSA,45.275.149/0001-11,SERRA TALHADA,2613909.0,PE,Brasileiro independente 
50678,2022-03-08,RODYFACE PRODUÇÕES E EVENTOS LTDA,11.873.794/0001-14,SÃO PAULO,3550308.0,SP,Brasileiro independente 
50688,2022-03-08,BONJOUR PROJETOS DE CULTURA LTDA,12.928.417/0001-06,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50674,2022-03-08,ALGO ALÉM FILMES LTDA,27.926.523/0001-10,BRASÍLIA,5300108.0,DF,Brasileiro independente 
50682,2022-03-08,KROMAKI FILMES LTDA,43.511.177/0001-65,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50675,2022-03-08,CARUS E MASSIRONI LTDA,08.640.077/0001-38,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
50683,2022-03-08,ASSUNTAR FILMES LTDA,45.235.433/0001-64,GOIÂNIA,5208707.0,GO,Brasileiro independente 
50681,2022-03-08,CINELERO PRODUCOES AUDIOVISUAIS LTDA,42.536.062/0001-62,SOCORRO,3552106.0,SP,Brasileiro independente 
50685,2022-03-08,ESPINHA DE BACALHAU CONTEÚDO AUDIOVISUAL LTDA,45.202.167/0001-73,BELO HORIZONTE,3106200.0,MG,Brasileiro independente 
50680,2022-03-08,CACHORRO SENSIVEL PRODUCOES LTDA,45.194.098/0001-01,SÃO PAULO,3550308.0,SP,Brasileiro independente 
50679,2022-03-08,VR PRODUÇÕES DE ESPETÁCULO LTDA,19.692.908/0001-31,TERESINA,2211001.0,PI,Brasileiro independente 
52932,2023-03-08,LUCAS RAMOS MENDES 05886972900,35.138.355/0001-26,TUBARÃO,4218707.0,SC,Brasileiro independente 
52936,2023-03-08,MAYARA VALENTIM PEREIRA 07203354342,41.950.964/0001-88,CABEDELO,2503209.0,PB,Brasileiro independente 
52933,2023-03-08,RECMART AGENCIA LTDA,19.476.141/0001-03,MARINGÁ,4115200.0,PR,Brasileiro independente 
52937,2023-03-08,SAIURI BISSANI 03345889013,33.925.143/0001-63,VILA MARIA,4323408.0,RS,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
52934,2023-03-08,RAFAEL CARVALHO GOS SERVIÇOS PUBLICITÁRIOS LTDA,39.702.019/0001-15,CURITIBA,4106902.0,PR,Brasileiro independente 
52931,2023-03-08,WILLIANS METLLEY FERREIRA DE SOUZA 33783689856,24.530.201/0001-69,SÃO PAULO,3550308.0,SP,Brasileiro independente 
52935,2023-03-08,SILVIA DE AZEVEDO BALLAN 15308978824,25.341.909/0001-34,SÃO PAULO,3550308.0,SP,Brasileiro independente 
52938,2023-03-08,47.801.645 RODRIGO RODRIGUES DAS NEVES,47.801.645/0001-97,BELÉM,1501402.0,PA,Brasileiro independente 
1197,2003-04-08,CINE QUA NON PRODUÇÕES E DISTRIBUIÇÕES CINEMATOGRÁFICAS LTDA.,42.274.332/0001-04,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
1045,2003-04-08,OFICINA DE IMAGENS CINEMA E TELEVISÃO LTDA,00.379.343/0001-09,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
1194,2003-04-08,"GRIFA PRODUÇÕES CINEMATOGRÁFICAS, AUDIOVISUAIS E ARTÍSTICAS LTDA.",01.486.085/0001-22,SÃO PAULO,3550308.0,SP,Brasileiro independente 
1867,2004-04-08,SET_5 PRODUTORA LTDA.,03.780.121/0001-91,SÃO PAULO,3550308.0,SP,Brasileiro independente 
3683,2005-04-08,TAKASHI PROPAGANDA LTDA,02.755.870/0001-04,IMPERATRIZ,2105302.0,MA,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
15313,2009-04-08,HTV PRODUCOES EIRELI,10.673.116/0001-45,JOÃO PESSOA,2507507.0,PB,Brasileiro independente 
18569,2011-04-08,MP CINEMAS EIRELI,12.983.519/0001-16,MIGUEL PEREIRA,3302908.0,RJ,Brasileiro independente 
23658,2013-04-08,DNS COMUNICAÇÃO LTDA EPP,03.043.912/0001-39,SÃO PAULO,3550308.0,SP,Brasileiro independente 
23674,2013-04-08,FRANCIJONY BELTRÃO AYRES,02.347.506/0001-05,ITACOATIARA,1301902.0,AM,Brasileiro independente 
23653,2013-04-08,WAHBA FILMES LTDA,04.760.897/0001-02,SÃO PAULO,3550308.0,SP,Brasileiro independente 
23659,2013-04-08,IDEIAS AO VENTO PORDUÇÕES ARTÍSTICAS E CULTURAIS LTDA - ME,09.536.942/0001-63,SÃO PAULO,3550308.0,SP,Brasileiro independente 
23672,2013-04-08,SANTA MARIA VÍDEO PRODUTORA LTDA,06.240.389/0001-29,SANTA MARIA,4316907.0,RS,Brasileiro independente 
23657,2013-04-08,TAMAN FILMES LTDA - ME,15.504.298/0001-44,SÃO PAULO,3550308.0,SP,Brasileiro independente 
26560,2014-04-08,GOHM CULTURA E INOVACAO LTDA - ME,13.373.053/0001-08,VITÓRIA,3205309.0,ES,Brasileiro independente 
26583,2014-04-08,ESPACO VIDEO LTDA,01.900.387/0001-03,PORTO VELHO,1100205.0,RO,Brasileiro independente 
29618,2015-04-08,ÁGUA COMUNICAÇÃO E EVENTOS LTDA,00.335.175/0001-50,CAMPO GRANDE,5002704.0,MS,Brasileiro independente 
32624,2016-04-08,KIWI PRODUCOES CULTURAIS SS LTDA,10.833.702/0001-00,SÃO PAULO,3550308.0,SP,Brasileiro independente 
32626,2016-04-08,MACHAFER FILMS EIRELI ME,24.426.278/0001-93,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
32616,2016-04-08,ELVIS DA SILVA MARTINS ME,14.480.556/0001-37,CAMPO GRANDE,5002704.0,MS,Brasileiro independente 
32622,2016-04-08,ANDRE MOREIRA FORNI - ME,15.747.649/0001-48,SÃO PAULO,3550308.0,SP,Brasileiro independente 
42693,2019-04-08,E NOBRE DA SILVA,22.482.486/0001-84,MACAPÁ,1600303.0,AP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42706,2019-04-08,K19 PRODUÇÕES E SERVIÇOS - EIRELI,33.013.599/0001-57,EUSÉBIO,2304285.0,CE,Brasileiro independente 
42681,2019-04-08,LAURINDO RIBEIRO DOS SANTOS FILHO 79057780615,26.259.631/0001-13,RECIFE,2611606.0,PE,Brasileiro independente 
42678,2019-04-08,GABRIEL JOSE BONIFACIO,28.185.766/0001-07,LONDRINA,4113700.0,PR,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42682,2019-04-08,FUNDAÇÃO TV LIBERTAS DE EDUCAÇÃO E CULTURA,03.827.622/0001-86,POUSO ALEGRE,3152501.0,MG,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42679,2019-04-08,GILSON DE OLIVEIRA NUNES,24.907.564/0001-70,PONTA GROSSA,4119905.0,PR,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42705,2019-04-08,CARLOS ALBERTO VEREZA DE ALMEIDA PRODUÇOES ARTISTICAS EIRELI,31.792.700/0001-90,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
42680,2019-04-08,R S DE BRITO PRODUTORA AUDIOVISUAL EIRELI,32.886.792/0001-30,SÃO BENEDITO,2312304.0,CE,Brasileiro independente 
45483,2020-04-08,CAFEINA PRODUCOES ARTISTICAS E AUDIOVISUAIS LTDA,36.845.016/0001-42,MAMPITUBA,4311734.0,RS,Brasileiro independente 
45491,2020-04-08,LUCAS MARTINS TELES,19.016.467/0001-58,SÃO PAULO,3550308.0,SP,Brasileiro independente 
45484,2020-04-08,A S BRAZ PRODUCAO DE FILMES CINEMATOGRAFICOS,10.465.962/0001-70,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
48121,2021-04-08,NETMINAS TELECOMUNICAÇÕES EIRELI,17.109.435/0001-71,SÃO JOÃO NEPOMUCENO,3162906.0,MG,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
48129,2021-04-08,HATS AV MARKETING PRODUCTIONS LTDA,31.350.273/0001-90,CURITIBA,4106902.0,PR,Brasileiro independente 
48126,2021-04-08,NOSSO QUINTAL PRODUTORA LTDA,34.052.569/0001-12,ASSIS,3504008.0,SP,Brasileiro independente 
48125,2021-04-08,DANIELLE RODRIGUES DE SOUZA VALENTIM 03677671477,20.722.697/0001-11,RECIFE,2611606.0,PE,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
48127,2021-04-08,PATRICE DE ALBUQUERQUE ANDRADE 92152880900,34.362.702/0001-37,CURITIBA,4106902.0,PR,Brasileiro independente 
48123,2021-04-08,PEDRO VASSEUR TORRES BELISARIO 09547133624,34.453.519/0001-47,BELO HORIZONTE,3106200.0,MG,Brasileiro independente 
48120,2021-04-08,EDNER FLAVIO BRANCO FERNANDÓPOLIS ME,02.170.675/0001-04,FERNANDÓPOLIS,3515509.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
48124,2021-04-08,GABRIEL CORREA MAIA 00464634296,22.584.050/0001-04,MACAPÁ,1600303.0,AP,Brasileiro
48130,2021-04-08,BENDITA PRODUTORA MUSICAL LTDA,31.911.093/0001-30,BRASÍLIA,5300108.0,DF,Brasileiro independente 
48122,2021-04-08,RICARDO DE MELO TAKEUCHI PRODUCOES CINEMATOGRAFICAS,31.893.970/0001-97,SÃO PAULO,3550308.0,SP,Brasileiro independente 
48128,2021-04-08,HAND7 PRODUCOES AUDIOVISUAIS LTDA,38.259.283/0001-63,SÃO PAULO,3550308.0,SP,Brasileiro independente 
50941,2022-04-08,RAFAEL DE MELLO SILVA 05431210700,45.925.135/0001-04,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50945,2022-04-08,ROBERTA BENEDITA DA SILVA DOTTA 35050869838,40.142.377/0001-08,CATANDUVA,3511102.0,SP,Brasileiro independente 
50939,2022-04-08,THA HOUSE COMPANY LTDA,40.108.244/0001-07,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50942,2022-04-08,RICARDO BATISTA DOS SANTOS - LIVE VÍDEOS,27.475.313/0001-52,UBERLÂNDIA,3170206.0,MG,Brasileiro independente 
50938,2022-04-08,"PIPOCA FILMES PRODUCOES ARTISTICAS, CULTURAIS E ASSESSORIAS EMPRESARIAIS LTDA",33.346.159/0001-11,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50944,2022-04-08,FILMART MEDIA CONTENT LTDA,41.401.202/0001-22,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50943,2022-04-08,AUDEMIR LEUZINGER DE QUEIRÓS JUNIOR,31.574.768/0001-00,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
50937,2022-04-08,DPLANNER FOTOGRAFIA EIRELI,37.787.940/0001-82,ITARIRI,3523305.0,SP,Brasileiro independente 
1272,2003-05-08,AION CINEMATOGRAFICA LTDA,01.835.704/0001-47,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
5798,2006-05-08,ANTONIO M. G. DE CARVALHO PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS,07.947.109/0001-80,PETROLINA,2611101.0,PE,Brasileiro independente 
5799,2006-05-08,ARTERIA PRODUCOES ARTISTICAS EIRELI,06.015.397/0001-71,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
13795,2008-05-08,PRODCOM PRODUÇÃO COMERCIAL LTDA ME,09.385.630/0001-04,COLATINA,3201506.0,ES,Brasileiro independente 
13792,2008-05-08,BKS DUBLAGENS DO BRASIL LTDA,04.947.418/0001-61,SÃO PAULO,3550308.0,SP,Brasileiro independente 
21460,2012-05-08,VANDERLEI DE ANDRADE JOBIM,01.570.672/0001-03,SÃO GABRIEL,4318309.0,RS,Brasileiro independente 
21462,2012-05-08,MOOVE HOUSE IDEIAS CRIATIVAS E AUDIOVISUAIS LTDA - ME,06.963.031/0001-24,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
21461,2012-05-08,FM PRODUÇÕES LTDA,15.281.532/0001-11,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
23966,2013-05-08,MUTUCA PRODUCOES ARTISTICAS LTDA,17.744.924/0001-03,CATAGUASES,3115300.0,MG,Brasileiro independente 
23983,2013-05-08,JAIRO ANDRÉ RENZ,17.896.992/0001-80,TRÊS PASSOS,4321907.0,RS,Brasileiro independente 
23980,2013-05-08,RAFAEL VITORIA DE ALMEIDA 01071244086,17.294.411/0001-30,RIO GRANDE,4315602.0,RS,Brasileiro independente 
23973,2013-05-08,VIVA FILMES LTDA.,17.902.421/0001-00,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
26802,2014-05-08,RED PRODUCOES E GRAVACOES DE VIDEOS LTDA,05.437.737/0001-90,SANTOS,3548500.0,SP,Brasileiro independente 
26805,2014-05-08,THOR FILMES LTDA,14.096.129/0001-50,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
26808,2014-05-08,FRANCISCO F DE AGUIAR SERVIÇOS EIRELI,34.901.850/0001-82,ITAITUBA,1503606.0,PA,Brasileiro independente 
39703,2018-05-08,NADER E MARKMAN COMUNICACAO LTDA ME,14.949.604/0001-93,RECIFE,2611606.0,PE,Brasileiro independente 
39704,2018-05-08,R. PAREDES DE SOUSA GIL ME,09.152.846/0001-11,BELA VISTA,5002100.0,MS,Brasileiro independente 
39706,2018-05-08,WELLINGTON TENORIO DINI 36104675840,17.640.771/0001-46,SÃO PAULO,3550308.0,SP,Brasileiro independente 
39707,2018-05-08,MAILSON PIGNATA,29.631.930/0001-25,SERTÃOZINHO,3551702.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
39702,2018-05-08,CARLOS ALFREDO DE OLIVEIRA RIBEIRO 65673840934,25.695.411/0001-70,BALNEÁRIO CAMBORIÚ,4202008.0,SC,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
39705,2018-05-08,JOSE ROBERTO THEODORO&CIA LTDA ME,07.805.439/0001-30,RONDONÓPOLIS,5107602.0,MT,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
42892,2019-05-08,IR PRODUÇÕES CULTURAIS E CINEMATOGRÁFICAS LTDA ME,33.355.193/0001-52,SÃO PAULO,3550308.0,SP,Brasileiro independente 
42891,2019-05-08,VANESSA CRISTINE TOLEDO DA SILVA 41334801800,28.741.628/0001-67,TAUBATÉ,3554102.0,SP,Brasileiro independente 
42895,2019-05-08,"HIPERPLANO PESQUISA, CONSULTORIA E PRODUCOES LTDA - ME",25.258.691/0001-59,CAMPINAS,3509502.0,SP,Brasileiro independente 
45655,2020-05-08,MALENA MANTINA ALMEIDA GALVAO 05717460554,36.533.898/0001-00,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
45660,2020-05-08,YUKI MICHEL GUIMARAES 21584766808,12.976.360/0001-02,SÃO PAULO,3550308.0,SP,"Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91"
45656,2020-05-08,LEANDRO MOSCARITOLO SCORSAFAVA - ME,12.832.828/0001-95,SÃO PAULO,3550308.0,SP,Brasileiro independente 
45666,2020-05-08,JSG LOCAÇÕES DE EQUIPAMENTOS LTDA,07.146.717/0001-95,PORTO ALEGRE,4314902.0,RS,Brasileiro independente 
45657,2020-05-08,DENIS ANDRADE DESIGNER,36.717.326/0001-81,MAUÁ,3529401.0,SP,Brasileiro independente 
45662,2020-05-08,GUAICURUS VIDEO E PRODUCOES FOTOGRAFICOS EIRELI,35.776.827/0001-76,CAMPO GRANDE,5002704.0,MS,Brasileiro independente 
45661,2020-05-08,J.L.EVANGELISTA,33.476.150/0001-25,CUIABÁ,5103403.0,MT,Brasileiro independente 
5908,2006-06-08,J. R. MAC NIVEN PRODUÇÕES LTDA,04.611.168/0001-94,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
15571,2009-06-08,LEONARDO COSTA RIBEIRO DE OLIVEIRA - LO2 CINEMA E VIDEO,08.976.958/0001-24,GOIÂNIA,5208707.0,GO,Brasileiro independente 
15575,2009-06-08,MADALHANO & NUNES LTDA,08.932.076/0001-67,SÃO JOSÉ DO RIO PRETO,3549805.0,SP,Brasileiro independente 
17153,2010-06-08,INTELIGÊNCIA SOLUÇÕES EM MARKETING LTDA ME,05.129.559/0001-30,BALNEÁRIO CAMBORIÚ,4202008.0,SC,Brasileiro independente 
17152,2010-06-08,VIRALATA PRODUÇÕES LTDA ME,11.721.296/0001-56,RIO DE JANEIRO,3304557.0,RJ,Brasileiro independente 
17148,2010-06-08,VACA AMARELA FILMES EIRELI,10.407.637/0001-50,NOVA LIMA,3144805.0,MG,Brasileiro independente 
